source:,https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent,,forms_checked:,53161
number_loans:,1,,total_loan_amount:,1390298467
last_updated:,"2021-01-07 00:07:57"
name,ticker,exchange,cik,sector,industry,market_cap,market_cap_date,accession_number,sec_url,form,sec_filing_date,loan_amount_usd,note,revenue_consensus,full_time_employees,city,state,state_code,zipcode,country_code,metro_area_cbsa,website,summary,returned_loan,return_filing,bank
"Ashford Hospitality Trust, Inc.",AHT,NYSE,0001232582,"Consumer Services","Real Estate Investment Trusts",137808326,,0000123258220000021,https://www.sec.gov/Archives/edgar/data/1232582/000123258220000021/0001232582-20-000021-index.htm,8-K,2020-04-24,45900000,"Filed notice with SEC that the company will return $45,900,000 loan on 4/24/20.",327380000,,Dallas,Texas,TX,75254,US,"Dallas-Fort Worth-Arlington, TX",http://www.ahtreit.com,"Ashford Hospitality Trust is a real estate investment trust (REIT) focused on investing predominantly in upper upscale, full-service hotels.",TRUE,https://www.sec.gov/Archives/edgar/data/1232582/000110465920055829/0001104659-20-055829-index.htm,KeyBank
"Ashford Hospitality Trust, Inc.",AHT,NYSE,0001232582,"Consumer Services","Real Estate Investment Trusts",137808326,,0000123258220000017,https://www.sec.gov/Archives/edgar/data/1232582/000123258220000017/0001232582-20-000017-index.htm,8-K,2020-04-21,30100000,"Filed notice with SEC that the company will return $30,100,000 loan on 4/21/20.",327380000,,Dallas,Texas,TX,75254,US,"Dallas-Fort Worth-Arlington, TX",http://www.ahtreit.com,"Ashford Hospitality Trust is a real estate investment trust (REIT) focused on investing predominantly in upper upscale, full-service hotels.",TRUE,https://www.sec.gov/Archives/edgar/data/1232582/000110465920055829/0001104659-20-055829-index.htm,KeyBank
"Ruth's Hospitality Group, Inc.",RUTH,NASDAQ,0001324272,"Consumer Services",Restaurants,618772514,,0000156459020016452,https://www.sec.gov/Archives/edgar/data/1324272/000156459020016452/0001564590-20-016452-index.htm,8-K,2020-04-13,20000000,"Filed notice with SEC that the company will return $20,000,000 loan on 4/13/20.",126790000,5740,"Winter Park",Florida,FL,32789,US,"Orlando-Kissimmee-Sanford, FL",http://www.rhgi.com,"Ruth's Hospitality Group, Inc., together with its subsidiaries, develops, operates, and franchises fine dining restaurants under the Ruth's Chris Steak House name. The company's restaurants offer food and beverage products to special occasion diners and frequent customers, as well as business clientele. As of February 28, 2020, it had approximately 150 company-owned and franchisee-owned restaurants worldwide. The company was formerly known as Ruth's Chris Steak House, Inc. and changed its name to Ruth's Hospitality Group, Inc. in May 2008. Ruth's Hospitality Group, Inc. was founded in 1965 and is headquartered in Winter Park, Florida.",TRUE,https://www.sec.gov/Archives/edgar/data/1324272/000156459020018289/0001564590-20-018289-index.htm,"JPMorgan Chase Bank"
"Braemar Hotels & Resorts, Inc.",BHR,NYSE,0001574085,"Consumer Services","Real Estate Investment Trusts",169125821,,0000157408520000016,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000016/0001574085-20-000016-index.htm,8-K,2020-04-24,18500000,"Filed notice with SEC that the company will return $18,500,000 loan on 4/24/20.",126160000,,Dallas,Texas,TX,75254,US,"Dallas-Fort Worth-Arlington, TX",http://www.bhrreit.com,"Braemar Hotels & Resorts is a conservatively capitalized REIT that invests primarily in high RevPAR, full-service luxury hotels and resorts. We are listed on the New York Stock Exchange under the symbol BHR and are externally-advised by Ashford (NYSE American: AINC).",TRUE,https://www.sec.gov/Archives/edgar/data/1574085/000110465920055826/0001104659-20-055826-index.htm,KeyBank
"The ONE Group Hospitality, Inc.",STKS,NASDAQ,0001399520,"Consumer Services",Restaurants,107551626,,0000155837020006051,https://www.sec.gov/Archives/edgar/data/1399520/000155837020006051/0001558370-20-006051-index.htm,8-K,2020-05-08,18300000,,30760000,3400,Denver,Colorado,CO,80202,US,"Denver-Aurora-Lakewood, CO",http://www.togrp.com,"The ONE Group Hospitality, Inc., a hospitality company, develops, owns, and operates restaurants and lounges worldwide. It operates through STK, Kona Grill, and ONE Hospitality segments. The company also provides turn-key food and beverage services for hospitality venues, including hotels, casinos, and other locations. Its hospitality food and beverage solutions include developing, managing, and operating restaurants, bars, rooftops, pools, banqueting, catering, private dining rooms, room service, and mini bars. The company operates restaurants primarily under the STK and Kona Grill brands. As of December 31, 2019, the Company owned, operated, managed, or licensed 55 venues, including 20 STKs and 24 Kona Grills in North America, Europe, and the Middle East. The company was founded in 2004 and is headquartered in Denver, Colorado.",FALSE,,BBVA
"Braemar Hotels & Resorts, Inc.",BHR,NYSE,0001574085,"Consumer Services","Real Estate Investment Trusts",169125821,,0000157408520000013,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000013/0001574085-20-000013-index.htm,8-K,2020-04-21,15800000,"Filed notice with SEC that the company will return $15,800,000 loan on 4/21/20.",126160000,,Dallas,Texas,TX,75254,US,"Dallas-Fort Worth-Arlington, TX",http://www.bhrreit.com,"Braemar Hotels & Resorts is a conservatively capitalized REIT that invests primarily in high RevPAR, full-service luxury hotels and resorts. We are listed on the New York Stock Exchange under the symbol BHR and are externally-advised by Ashford (NYSE American: AINC).",TRUE,https://www.sec.gov/Archives/edgar/data/1574085/000110465920055826/0001104659-20-055826-index.htm,KeyBank
"J. Alexander's Holdings, Inc.",JAX,NYSE,0001617227,"Consumer Services",Restaurants,109860861,,0000119312520109428,https://www.sec.gov/Archives/edgar/data/1617227/000119312520109428/0001193125-20-109428-index.htm,8-K,2020-04-16,15100000,"Filed notice with SEC that the company will return $15,100,000 loan on 4/16/20.",63439000,4200,Nashville,Tennessee,TN,37202,US,"Nashville-Davidson-Murfreesboro-Franklin, TN",http://www.jalexandersholdings.com,"J. Alexander's Holdings, Inc., through its subsidiaries, owns and operates complementary upscale dining restaurants in the United States. It operates restaurants under various concepts, including J. Alexander's, Redlands Grill, Lyndhurst Grill, Overland Park Grill, Merus Grill, and Stoney River Steakhouse and Grill. The company's restaurants offer American menu. As of April 20, 2020, it operated 47 restaurants in 16 states. J. Alexander's Holdings, Inc. was founded in 1970 and is headquartered in Nashville, Tennessee.",TRUE,https://www.sec.gov/Archives/edgar/data/1617227/000119312520118678/0001193125-20-118678-index.htm,"Pinnacle Bank"
"OneWater Marine Inc.",ONEW,NASDAQ,0001772921,"Consumer Services","Other Specialty Stores",435631419,,0000114036120010062,https://www.sec.gov/Archives/edgar/data/1772921/000114036120010062/0001140361-20-010062-index.htm,8-K,2020-04-29,14100000,"Filed notice with SEC that the company will return $14,100,000 loan on 4/29/20.",191470000,1102,Buford,Georgia,GA,30518,US,"Atlanta-Sandy Springs-Roswell, GA",http://www.onewatermarine.com,"OneWater Marine Inc. operates as a recreational boat retailer in the United States. It offers new and pre-owned recreational boats and yachts, as well as related marine products, such as parts and accessories. The company also provides boat repair and maintenance services; arranges boat financing and insurance; and other ancillary services, including indoor and outdoor storage, and marina, as well as rental of boats and personal watercraft. As of October 21, 2019, it operated 63 stores comprising 21 dealer groups in 11 states. The company was founded in 2014 and is headquartered in Buford, Georgia.",TRUE,https://www.sec.gov/Archives/edgar/data/1772921/000114036120010909/0001140361-20-010909-index.htm,"Hancock Whitney Bank"
"Ashford Inc.",AINC,"NYSE MKT",0001604738,"Consumer Services","Professional Services",23017364,,0000160473820000016,https://www.sec.gov/Archives/edgar/data/1604738/000160473820000016/0001604738-20-000016-index.htm,8-K,2020-04-22,12800000,"Filed notice with SEC that the company will return $12,800,000 loan on 4/22/20.",90650000,123,Dallas,Texas,TX,75254,US,"Dallas-Fort Worth-Arlington, TX",http://www.ashfordinc.com,"Ashford, Inc is an asset management firm. The firm provides investment management and related services to the real estate and hospitality sectors. Ashford, Inc was formed on April 2, 2014 and is based in Dallas, Texas. Ashford Inc.(AMEX:AINC) operates independently of Ashford Hospitality Trust, Inc. as of November 5, 2019.",TRUE,https://www.sec.gov/Archives/edgar/data/1604738/000110465920055828/0001104659-20-055828-index.htm,KeyBank
"Good Times Restaurants Inc.",GTIM,NASDAQ,0000825324,"Consumer Services",Restaurants,35993790,,0000121465920004365,https://www.sec.gov/Archives/edgar/data/825324/000121465920004365/0001214659-20-004365-index.htm,8-K,2020-05-12,11645000,,30300000,2535,Lakewood,Colorado,CO,80228,US,"Denver-Aurora-Lakewood, CO",http://www.goodtimesburgers.com,"Good Times Restaurants Inc., through its subsidiaries, engages in the restaurant business in the United States. The company operates and franchises Good Times Burgers & Frozen Custard, an upscale quick-service drive-through dining restaurant; and owns, operates, franchises, and licenses Bad Daddy's Burger Bar, a full-service upscale casual dining restaurant. As of December 16, 2019, it operated, franchised or licensed 39 Bad Daddy's Burger Bar restaurants; and 34 Good Times Burgers & Frozen Custard restaurants. The company was founded in 1987 and is based in Lakewood, Colorado.",FALSE,,"Cadence Bank"
